Key,Study,Treatment,Treatment2
S27560b3444b02c87.Baseline.Avocado,Avocado,Avocado,
Sacd2626b9cf9bb7.Baseline.NoAvocado,Avocado,Control,
Sacd2626b9cf9bb7.End.NoAvocado,Avocado,Control,
Se4ee25432545314.Baseline.Avocado,Avocado,Avocado,
S5319491500fe4567.Baseline.Avocado,Avocado,Avocado,
S5319491500fe4567.End.Avocado,Avocado,Avocado,
S686b1a3a44f0f8eb.Baseline.Avocado,Avocado,Avocado,
S686b1a3a44f0f8eb.End.Avocado,Avocado,Avocado,
S6116c4b48eb549f2.Baseline.NoAvocado,Avocado,Control,
S6116c4b48eb549f2.End.NoAvocado,Avocado,Control,
S71a4809065656723.Baseline.NoAvocado,Avocado,Control,
S71a4809065656723.End.NoAvocado,Avocado,Control,
S569fe9251cb1e35f.Baseline.NoAvocado,Avocado,Control,
S569fe9251cb1e35f.End.NoAvocado,Avocado,Control,
S7ab67d7b192d6ab6.Baseline.NoAvocado,Avocado,Control,
S42b12b7cac8ad9f8.Baseline.Avocado,Avocado,Avocado,
S42b12b7cac8ad9f8.End.Avocado,Avocado,Avocado,
S7046d84e65ee74a7.Baseline.Avocado,Avocado,Avocado,
S7046d84e65ee74a7.End.Avocado,Avocado,Avocado,
S248fd1f92fd4984a.Baseline.NoAvocado,Avocado,Control,
S248fd1f92fd4984a.End.NoAvocado,Avocado,Control,
Sc510f6a49df2377.Baseline.Avocado,Avocado,Avocado,
Sc510f6a49df2377.End.Avocado,Avocado,Avocado,
S49c116c3686450e4.Baseline.NoAvocado,Avocado,Control,
S49c116c3686450e4.End.NoAvocado,Avocado,Control,
S21b321766a43673.Baseline.Avocado,Avocado,Avocado,
S21b321766a43673.End.Avocado,Avocado,Avocado,
S7595c6c88fd7e9b8.Baseline.NoAvocado,Avocado,Control,
S7595c6c88fd7e9b8.End.NoAvocado,Avocado,Control,
S7d8d57d1a8e6e800.Baseline.NoAvocado,Avocado,Control,
S6b0054ea350b98a3.Baseline.NoAvocado,Avocado,Control,
S6b0054ea350b98a3.End.NoAvocado,Avocado,Control,
S806a4073c6f300f.Baseline.Avocado,Avocado,Avocado,
S806a4073c6f300f.End.Avocado,Avocado,Avocado,
S842c3fd6c14ac69.Baseline.NoAvocado,Avocado,Control,
S65f8b556ec66ca5f.Baseline.Avocado,Avocado,Avocado,
S65f8b556ec66ca5f.End.Avocado,Avocado,Avocado,
S62082d1ff956ba3d.Baseline.NoAvocado,Avocado,Control,
S62082d1ff956ba3d.End.NoAvocado,Avocado,Control,
S59c2fe62fd18c46d.Baseline.NoAvocado,Avocado,Control,
S59c2fe62fd18c46d.End.NoAvocado,Avocado,Control,
S509fffd909218807.Baseline.NoAvocado,Avocado,Control,
S509fffd909218807.End.NoAvocado,Avocado,Control,
S2807c48627ca2a5.Baseline.Avocado,Avocado,Avocado,
S2807c48627ca2a5.End.Avocado,Avocado,Avocado,
S4226c49a790f3b19.Baseline.Avocado,Avocado,Avocado,
S4226c49a790f3b19.End.Avocado,Avocado,Avocado,
